compound1,compound2,hydrogen_donor,hydrogen_acceptor,Drug1,molecular_weight (in g/mol) / DA
acetic acid,salicylic acid,1,2,Aspirin,180.16
4-aminophenol,acetic anhydride,1,1,Acetaminophen,151.16
p-hydroxyphenyl glycine methyl ester,aminopenicillanic acid,0,2,Amoxicillin,365.4
erythromycin,methyl-nitrogen,0,2,Azithromycin,748.98
Isobutylbenzene,Acyl chloride,4,7,Ibuprofen,206.28
Dimethylbiguanide,Cyanamide,2,3,Metformin,129.16
Cyclohexanone,Amino acids,2,3,Gabapentin,171.24
Amoxicillin,Clavulanic Acid,0,2,Augmentin,365
Hydrocodone,Acetaminophen,1,1,Vicodin,291
Lisinopril,Hydrochlorothiazide,2,3,Zestoretic,447
Amlodipine,Benazepril,3,3,Lotrel,408
Fluticasone,Salmeterol,2,2,Advair,500.57
Ipratropium,Albuterol,2,2,Combivent,332.38
Losartan,Hydrochlorothiazide,1,2,Hyzaar,422.91
Metformin,Sitagliptin,1,3,Janumet,523.32
Glyburide,Metformin,0,2,Glucovance,493.99
Vildagliptin,Metformin,0,2,Galvus Met,129.96
Perindopril,Indapamide,0,2,Preterax,365.84
Bisoprolol,Hydrochlorothiazide,3,4,Ziac,325.45
Lamivudine,Zidovudine,1,3,Combivir,229.26
Carbidopa,Levodopa,3,4,Sinemet,244.24
Pioglitazone,Metformin,2,3,Actoplus Met,356.44
Telmisartan,Hydrochlorothiazide,2,5,Micardis HCT,514.63
Valsartan,Hydrochlorothiazide,2,1,Diovan HCT,433.52
Lopinavir,Ritonavir,1,1,Kaletra,345.76
Aliskiren,Hydrochlorothiazide,1,2,Tekturna HCT,609.83
Amlodipine,Olmesartan,2,2,Azor,408.88
Amlodipine,Valsartan,2,2,Exforge,408.88
Amlodipine,Atorvastatin,2,7,Caduet,266.37
Atenolol,Chlorthalidone,2,4,Tenoretic,505.45
 4-chloroaniline,Hexamethylenetetramin,2,2,Chlorhexidine,299.37
Thebaine ,Hydrogenation Reagents,2,4,Hydrocodone,585.53
Minocycline ,Glycine,4,4,Tigecycline,424.5
Benazepril,Hydrochlorothiazide,0,3,Lotensin HCT,408.87
D-Glucose derivative, Benzyl bromide derivative,0,6,Dapagliflozin ,493.99
4-chlorobenzenesulfonamide, 5-chloro-2-methoxybenzoic acid,1,1,Glyburide,440.47
Candesartan,Hydrochlorothiazide,4,6,Atacand HCT,217.29
Captopril,Hydrochlorothiazide,2,3,Capozide,274.78
Chlorpheniramine,Hydrocodone,3,4,Tussionex,274.78
Chlorpheniramine,Phenylephrine,1,3,Chlor-Trimeton,297.23
Chlorpheniramine,Pseudoephedrine,2,6,Chlor-Trimeton D,274.78
Ciprofloxacin,Dexamethasone,2,6,Ciprodex,331.34
Clindamycin,Tretinoin,2,4,Ziana,425.98
Clotrimazole,Betamethasone,1,3,Lotrisone,344.84
Codeine,Guaifenesin,0,4,Robitussin AC,198.22
Codeine,Promethazine,0,3,Phenergan with Codeine,284.41
Dapagliflozin,Metformin,1,4,Xigduo XR,408.87
Diclofenac,Misoprostol,3,4,Arthrotec,296.15
Dorzolamide,Timolol,1,7,Cosopt,324.48
Ezetimibe,Simvastatin,2,4,Vytorin,409.39
Fenofibrate,Simvastatin,4,12,Cholib,360.83
Formoterol,Budesonide,2,3,Symbicort,430.54
Glyburide,Rosiglitazone,3,10,Avandaryl,357.43
Ibuprofen,Famotidine,2,7,Duexis,206.28
Indapamide,Perindopril,0,2,Preterax,368.42
Lopinavir,Ritonavir,0,2,Kaletra,628.81
Methyldopa,Hydrochlorothiazide,2,1,Aldoril,211.21
Metoprolo,Olmesartan,2,9,Azor,408.88
Pioglitazone,Glimepiride,0,5,Duetact,356.44
Amlodipine,Perindopril,2,3,Prestalia,777.6
Amphetamine,Dextroamphetamine,3,6,Adderal,270.4
Aspirin,Dipyridamole,1,5,Aggrenox,684.7
Budesonide,Formoterol,0,6,Symbicort,774.9
Buprenorphine,Naloxone,2,5,Suboxone,795
Chlorpheniramine,Phenylpropanolamine,0,7,Ornade,426
Chlorpheniramine,Methscopolamine,2,6,Deconamine SR,759.4
Chlorpheniramine,Phenylpropanolamine,1,5,Teldrin,426
Codeine,Acetaminophen,1,7,Tylenol with Codeine,450.6
Diclofenac,Omeprazole,2,8,Arthrotec,641.6
Drospirenone,Ethinyl Estradiol,1,5,Yasmin,662.9
Emtricitabine,Tenofovir,2,4,Truvada,534.5
Esomeprazole,Naproxen,3,3,Vimovo,575.7
Ezetimibe,Atorvastatin,3,6,Liptruzet,1618.8
Fexofenadine,Pseudoephedrine,2,3,Allegra-D,666.9
Fluticasone,Vilanterol,3,7,Breo Ellipta,948.1
Glyburide,Metformin,4,2,Glucovance,623.2
Insulin Degludec,Liraglutide,3,5,Xultophy,9861.2
Insulin Glargine,Lixisenatide,1,6,Soliqua,10921
Ipratropium,Albuterol,4,4,Combivent,571.7
Levodopa,Carbidopa/Entacapone,1,5,Stalevo,728.8
Liraglutide,Insulin Degludec,1,6,Xultophy,9861.2
Metformin,Glyburide,1,1,Glucovance,623.2
Metformin,Saxagliptin,1,4,Kombiglyze XR,444.6
Metformin,Vildagliptin,0,5,Eucreas,432.6
Nebivolol,Valsartan,2,3,Byvalson,877.4
Oxycodone,Acetaminophen,1,4,Percocet,466.6
Sitagliptin,Metformin,2,5,Janumet,536.5
Tamsulosin,Dutasteride,0,5,Jalyn,551
Triamterene,Hydrochlorothiazide,0,2,"Dyazide, Maxzide",550.1
Atorvastatin,Ezetimibe,2,4,Liptruzet,1618.8
Amlodipine,Benazepril,3,5,Lotrel,833.6
Clopidogrel,Aspirin,1,6,Clopidogrel/Aspirin,501.4
Lisinopril,Hydrochlorothiazide,1,1,Zestoretic,471.5
Propranolol,Hydrochlorothiazide,1,3,Inderide,557
Valsartan,Hydrochlorothiazide,3,4,Diovan HCT,433.52
Telmisartan,Amlodipine,1,5,Twynsta,579.9
Perindopril,Amlodipine,2,4,Prestalia,777.6
Spironolactone,Hydrochlorothiazide,1,4,Aldactazide,632.8
Loratadine,Pseudoephedrine,0,5,Claritin-D,425.98
Rosuvastatin,Ezetimibe,0,4,Roszet,684.6
Ezetimibe,Simvastatin,1,4,Vytorin,597.7
Olmesartan,Amlodipine,2,4,Azor,408.88
Vildagliptin,Metformin,0,4,Galvus Met,129.96
Hydrocodone,Acetaminophen,0,5,Vicodin,291
Oxycodone,Ibuprofen,1,7,Combunox,586.6
